: 1508199806:0;python -v
: 1508199835:0;pip
: 1508199846:0;python --version
: 1508199913:0;brew install python
: 1508200081:0;pip install --user powerline-status
: 1508200109:0;export PATH="/usr/local/opt/python/libexec/bin:$PATH"
: 1508200128:0;pip2 install --user powerline-status
: 1508200151:0;open /Users/dean/Library/Caches/pip/wheels/2b/3c/b6/0f2dd3801dadbae0b9f610fefbccc6f472540b86fd380b91fc
: 1508200301:0;ls -la
: 1508200337:0;cd .oh-my-zsh
: 1508200339:0;ls
: 1508200352:0;cd custom
: 1508200354:0;ls
: 1508200375:0;cd plugins
: 1508200376:0;ls
: 1508200381:0;cd example
: 1508200382:0;ls
: 1508200394:0;cd ..
: 1508200402:0;cd themes
: 1508200404:0;ls
: 1508200450:0;git clone https://github.com/bhilburn/powerlevel9k.git ~/.oh-my-zsh/custom/themes/powerlevel9k
: 1508200466:0;cd
: 1508200484:0;atom .zshrc
: 1508200812:0;ls
: 1508200822:0;cd Downloads
: 1508200849:0;cd Desktop
: 1508200856:0;ls
: 1508200862:0;cd javascript_project
: 1508200864:0;ls
: 1508200904:0;brew install zsh-syntax-highlighting
: 1508200926:0;source /usr/local/share/zsh-syntax-highlighting/zsh-syntax-highlighting.zsh
: 1508200962:0;cd
: 1508200965:0;brew install zsh-syntax-highlighting
: 1508200979:0;atom .zshrc
: 1508201626:0;cd
: 1508201628:0;ls
: 1508201643:0;rails -v
: 1508202888:0;ls
: 1508202892:0;ls -la
: 1508207950:0;cd Desktop/testapp/front
: 1508207962:0;git pull
: 1508207985:0;git stash
: 1508208017:0;git pull
: 1508208039:0;git pull origin master
: 1508208048:0;git status
: 1508208075:0;cd
: 1508375387:0;cd Desktop
: 1508375401:0;mkdir finalProj
: 1508375407:0;cd finalProj
: 1508375413:0;git clone git@github.com:deanban/Final.git
: 1508375470:0;git clone git@github.com:deanban/Final-front.git
: 1508378434:0;cd Final-front
: 1508378452:0;git co master
: 1508378467:0;git status
: 1508378476:0;git add .
: 1508378485:0;git commit -m "new mac"
: 1508378490:0;git push
: 1508378520:0;atom .
: 1508378556:0;yarn install
: 1508379349:0;cd ..
: 1508379355:0;cd
: 1508379369:0;cd Desktop/finalProj/Final
: 1508379374:0;atom .
: 1508380231:0;bundle
: 1508380281:0;gem install pg -v '0.21.0'
: 1508380450:0;export PATH="/Applications/Postgres.app/Contents/MacOS/bin:$PATH"
: 1508380459:0;bundle
: 1508380475:0;gem install pg -v '0.21.0'
: 1508380500:0;atom /Users/dean/.rvm/gems/ruby-2.3.3/extensions/x86_64-darwin-16/2.3.0/pg-0.21.0/mkmf.log
: 1508380587:0;sudo  install libpq-dev
: 1508380597:0;brew install libpq-dev
: 1508380660:0;sudo apt-get install libpq-dev
: 1508380689:0;brew search libpq
: 1508380716:0;brew install libpq
: 1508380746:0;echo 'export PATH="/usr/local/opt/libpq/bin:$PATH"' >> ~/.zshrc
: 1508380777:0;brew install libpqxx
: 1508380816:0;bundle
: 1508380842:0;rails routes
: 1508380855:0;rails db:create
: 1508380861:0;rails db:migrate
: 1508380867:0;rails db:seed
: 1508380915:0;atom .
: 1508381348:0;yarn start
: 1508381398:0;rails s
: 1508381695:0;rails c
: 1508381880:0;rails s
: 1508381937:0;atom .
: 1508381983:0;yarn start
: 1508382130:0;atom .
: 1508418860:0;cd Desktop/finalProj
: 1508418864:0;cd Final
: 1508418873:0;rails s
: 1508418878:0;cd ..
: 1508418883:0;cd Final-front
: 1508418889:0;yarn start
: 1508418899:0;subl .
: 1508418903:0;atom .
: 1508420691:0;node
: 1508420845:0;node 
: 1508422418:0;cd desk
: 1508422422:0;cd 
: 1508422478:0;cd Documents
: 1508422490:0;atom linked_list.js
: 1508425946:0;yarn start
: 1508426411:0;rails s
: 1508442777:0;yarn add redux-persist
: 1508447942:0;git status
: 1508447950:0;git add .
: 1508447959:0;git commit -m "MVP"
: 1508447969:0;git push
: 1508448666:0;rails c
: 1508505502:0;cd Desktop/finalProj/Final
: 1508505505:0;rails s
: 1508505510:0;cd ..
: 1508505517:0;cd Final
: 1508505525:0;yarn start
: 1508505531:0;ls
: 1508505538:0;cd ..
: 1508505544:0;cd Final-front
: 1508505548:0;yarn start
: 1508505826:0;rails s
: 1508505894:0;rails server -h
: 1508505955:0;ps -aef | grep rails
: 1508505971:0;sudo lsof -wni tcp:3000
: 1508506003:0;kill -4713 pID
: 1508506015:0;kill -4713 PID
: 1508506019:0;kill -4713 pID
: 1508506032:0;sudo kill -9 $(lsof -i :3000 -t)
: 1508506035:0;rails s
: 1508510547:0;subl .
: 1508510550:0;atom .
: 1508510596:0;bundle
: 1508511929:0;rails s
: 1508512163:0;atom .
: 1508512242:0;rails s
: 1508525617:0;rails c
: 1508526800:0;rails routes
: 1508526823:0;atom .
: 1508527049:0;rails routes
: 1508527255:0;rails s
: 1508527373:0;rails c
: 1508527935:0;rails routes
: 1508527973:0;rails s
: 1508528640:0;rails c
: 1508530972:0;rails g model user
: 1508531341:0;rails routes
: 1508531388:0;rails s
: 1508531503:0;cd ..
: 1508532010:0;rails new back --database=postgresql --api
: 1508532026:0;cd back
: 1508532033:0;atom .
: 1508532197:0;bundle
: 1508532480:0;rails g model user
: 1508535604:0;rails g controller api/v1/users
: 1508535732:0;rails s
: 1508545059:0;rails db:create
: 1508545068:0;rails db:migrate
: 1508545103:0;rails c
: 1508545274:0;rails routes
: 1508545300:0;rails s
: 1508545446:0;bundle
: 1508545451:0;rails s
: 1508546711:0;rails g migration add_password_reset_columns_to_user
: 1508546780:0;rails g migration add_unconfirmed_email_to_user
: 1508546806:0;rails db:drop
: 1508546812:0;rails db:create
: 1508546818:0;rails db:migrate
: 1508546871:0;rails s
: 1508547063:0;rails routes
: 1508547082:0;rails c
: 1508547420:0;rails routes
: 1508547498:0;rails c
: 1508548374:0;cd
: 1508548380:0;cd Desktop
: 1508548385:0;git clone git@github.com:avinoth/auth-scratch-demo.git
: 1508548412:0;cd auth-scratch-demo
: 1508548414:0;ls
: 1508548422:0;rails db:drop
: 1508548433:0;atom .
: 1508548494:0;bundle
: 1508548621:0;rails db:drop
: 1508548642:0;rails db:create
: 1508548649:0;rails db:migrate
: 1508548659:0;rails c
: 1508548746:0;rails s
: 1508551248:0;rails db:drop
: 1508551289:0;rails db:create
: 1508551297:0;rails db:migrate
: 1508551311:0;rails db:seed
: 1508551328:0;rails routes
: 1508551364:0;rails s
: 1508551428:0;rails c
: 1508551511:0;rails s
: 1508551567:0;atom .
: 1508608321:0;cd Desktop
: 1508608341:0;cd finalProj
: 1508608342:0;ls
: 1508608351:0;cd Final-front
: 1508608357:0;atom .
: 1508608368:0;cd ..
: 1508608373:0;cd back
: 1508608378:0;atom .
: 1508608560:0;rails s
: 1508608566:0;yarn start
: 1508610117:0;rails s
: 1508619852:0;rails routes
: 1508619941:0;rails s
: 1508620201:0;rails c
: 1508620389:0;rails routes
: 1508621143:0;rails s
: 1508643302:0;cd Desktop/finalProj/back
: 1508643313:0;git remote add origin git@github.com:deanban/Final-back.git
: 1508643319:0;git push -u origin master
: 1508643341:0;git status
: 1508643349:0;git add .
: 1508643376:0;git commit -m "new backend with custom user model"
: 1508643392:0;git push -u origin master
: 1508643398:0;cd ..
: 1508643405:0;cd Final-front
: 1508643409:0;git add .
: 1508643428:0;git commit -m "Working with new backend"
: 1508643438:0;git push
